count communityType relAbundance media Family cumulative_abundance
177638 bacteOnly 0.637966700665125 mBHI Enterobacteriaceae 0.637966700665125
99996 bacteOnly 0.613585322451985 mBHI Enterobacteriaceae 1.25155202311711
95263 bacteOnly 0.607455539047206 mBHI Enterobacteriaceae 1.85900756216432
82304 bacteOnly 0.338786027710774 mBHI Enterobacteriaceae 2.19779358987509
34499 bacteOnly 0.21998686417171 mBHI Bacteroidaceae 2.4177804540468
33601 bacteOnly 0.206179051359146 mBHI Bacteroidaceae 2.62395950540595
52377 bacteOnly 0.188106046458175 mBHI Bacteroidaceae 2.81206555186412
42720 bacteOnly 0.175847335534169 mBHI Streptococcaceae 2.98791288739829
32226 bacteOnly 0.132651129094666 mBHI Bacteroidaceae 3.12056401649296
34027 bacteOnly 0.122204105672954 mBHI Bacteroidaceae 3.24276812216591
19852 bacteOnly 0.121813830766399 mBHI Bacteroidaceae 3.36458195293231
18968 bacteOnly 0.120951646123337 mBHI Bacteroidaceae 3.48553359905565
24395 bacteOnly 0.100416567189983 mBHI Hydrogenoanaerobacterium 3.58595016624563
13864 bacteOnly 0.0570680585169879 mBHI Bacteroidaceae 3.64301822476262
12084 bacteOnly 0.0497410862030642 mBHI Lachnospiraceae 3.69275931096568
9329 bacteOnly 0.0384007442228058 mBHI Oscillospiraceae 3.73116005518849
6236 bacteOnly 0.0382647112965576 mBHI Bacteroidaceae 3.76942476648504
10266 bacteOnly 0.0368691729755355 mBHI Bacteroidaceae 3.80629393946058
8949 bacteOnly 0.0368365591220805 mBHI Sutterellaceae 3.84313049858266
5501 bacteOnly 0.0350777628281566 mBHI Bacteroidaceae 3.87820826141082
