well relAbundance alpha_diversity_e0040 communityType media
B1 0.254509760635782 14 preAbx mBHI
E3 0.269426958821948 14 preAbx YCFA
F1 0.291316624661626 14 preAbx mGAM
F3 0.300884707302608 14 preAbx YCFA
G1 0.281855195807039 14 preAbx mGAM
G3 0.266524540369214 14 preAbx YCFA
H3 0.348104382077794 14 preAbx YCFA
A1 0.343218652124072 13 preAbx mBHI
C1 0.324605582024102 13 preAbx mBHI
D1 0.319074746202693 13 preAbx mBHI
E1 0.294466423417514 13 preAbx mGAM
H1 0.332905516276152 13 preAbx mGAM
E2 0.543860060313442 4 preAbx RCM
F2 0.575080284965487 3 preAbx RCM
G2 0.523191311612364 3 preAbx RCM
H2 0.543088602625903 3 preAbx RCM
