well relAbundance alpha_diversity_e0040 communityType media
H1 3.01633647836683e-05 50 preAbx mGAM
A1 2.39818505355147e-05 34 preAbx mBHI
H3 7.94142405616175e-06 34 preAbx YCFA
G3 2.8299484006075e-05 33 preAbx YCFA
E3 0.269426958821948 31 preAbx YCFA
G1 0.281855195807039 31 preAbx mGAM
C1 1.64855998285498e-05 29 preAbx mBHI
B1 1.97104922892554e-05 26 preAbx mBHI
E1 1.53738930796983e-05 25 preAbx mGAM
F3 0.000126336623934473 25 preAbx YCFA
D1 0.319074746202693 24 preAbx mBHI
F1 6.41743675907776e-05 24 preAbx mGAM
H2 1.40197725525566e-05 15 preAbx RCM
E2 0.543860060313442 7 preAbx RCM
G2 0.000295182400445558 5 preAbx RCM
F2 0.575080284965487 4 preAbx RCM
