count communityType relAbundance media Family cumulative_abundance
62318 preAbx 0.575080284965487 RCM Enterobacteriaceae 0.575080284965487
69613 preAbx 0.543860060313442 RCM Enterobacteriaceae 1.11894034527893
232424 preAbx 0.543088602625903 RCM Enterobacteriaceae 1.66202894790483
93939 preAbx 0.523191311612364 RCM Enterobacteriaceae 2.1852202595172
49872 preAbx 0.38963108798575 RCM Streptococcaceae 2.57485134750295
165962 preAbx 0.387791582061234 RCM Streptococcaceae 2.96264292956418
69264 preAbx 0.385764411027569 RCM Streptococcaceae 3.34840734059175
39963 preAbx 0.368784836292496 RCM Streptococcaceae 3.71719217688424
131502 preAbx 0.348104382077794 YCFA Enterobacteriaceae 4.06529655896204
71558 preAbx 0.343218652124072 mBHI Enterobacteriaceae 4.40851521108611
220735 preAbx 0.332905516276152 mGAM Enterobacteriaceae 4.74142072736226
78761 preAbx 0.324605582024102 mBHI Enterobacteriaceae 5.06602630938637
53714 preAbx 0.319074746202693 mBHI Enterobacteriaceae 5.38510105558906
85738 preAbx 0.300884707302608 YCFA Enterobacteriaceae 5.68598576289167
57461 preAbx 0.294466423417514 mGAM Enterobacteriaceae 5.98045218630918
49934 preAbx 0.291316624661626 mGAM Enterobacteriaceae 6.27176881097081
50604 preAbx 0.281855195807039 mGAM Enterobacteriaceae 6.55362400677785
95233 preAbx 0.269426958821948 YCFA Enterobacteriaceae 6.82305096559979
84762 preAbx 0.266524540369214 YCFA Enterobacteriaceae 7.08957550596901
64562 preAbx 0.254509760635782 mBHI Enterobacteriaceae 7.34408526660479
