well	communityType	media	replicate	bacte1bacte2
A1	preAbx	mBHI	no	NA
A2	postAbxV1	mBHI	no	NA
A3	postAbxV2	mBHI	no	NA
A4	blank	mBHI	no	NA
A5	blank	mBHI	no	NA
A6	bacteSwap	mBHI	no	bacte1
A7	bacteSwap	mBHI	no	bacte1
A8	bacteSwap	mBHI	no	bacte1
A9	bacteSwap	mBHI	no	bacte1
A10	bacteSwap	mBHI	no	bacte1
A11	bacteSwap	mBHI	no	bacte1
A12	bacteSwap	mBHI	no	bacte1
B1	preAbx	mBHI	yes	NA
B2	postAbxV1	mBHI	yes	NA
B3	postAbxV2	mBHI	yes	NA
B4	blank	mBHI	no	NA
B5	bacteSwap	mBHI	yes	bacte2
B6	bacteSwap	mBHI	yes	NA
B7	bacteSwap	mBHI	no	NA
B8	bacteSwap	mBHI	no	NA
B9	bacteSwap	mBHI	no	NA
B10	bacteSwap	mBHI	no	NA
B11	bacteSwap	mBHI	no	NA
B12	bacteSwap	mBHI	no	NA
C1	preAbx	mBHI	yes	NA
C2	postAbxV1	mBHI	yes	NA
C3	postAbxV2	mBHI	yes	NA
C4	blank	mBHI	no	NA
C5	bacteSwap	mBHI	yes	bacte2
C6	bacteSwap	mBHI	no	NA
C7	bacteSwap	mBHI	yes	NA
C8	bacteSwap	mBHI	no	NA
C9	bacteSwap	mBHI	no	NA
C10	bacteSwap	mBHI	no	NA
C11	bacteSwap	mBHI	no	NA
C12	bacteSwap	mBHI	no	NA
D1	preAbx	mBHI	yes	NA
D2	postAbxV1	mBHI	yes	NA
D3	postAbxV2	mBHI	yes	NA
D4	blank	mBHI	no	NA
D5	bacteSwap	mBHI	yes	bacte2
D6	bacteSwap	mBHI	no	NA
D7	bacteSwap	mBHI	no	NA
D8	bacteSwap	mBHI	yes	NA
D9	bacteSwap	mBHI	no	NA
D10	bacteSwap	mBHI	no	NA
D11	bacteSwap	mBHI	no	NA
D12	bacteSwap	mBHI	no	NA
E1	preAbx	mGAM	no	NA
E2	preAbx	RCM	no	NA
E3	preAbx	YCFA	no	NA
E4	bacteOnly	mBHI	no	NA
E5	bacteSwap	mBHI	yes	bacte2
E6	bacteSwap	mBHI	no	NA
E7	bacteSwap	mBHI	no	NA
E8	bacteSwap	mBHI	no	NA
E9	bacteSwap	mBHI	yes	NA
E10	bacteSwap	mBHI	no	NA
E11	bacteSwap	mBHI	no	NA
E12	bacteSwap	mBHI	no	NA
F1	preAbx	mGAM	yes	NA
F2	preAbx	RCM	yes	NA
F3	preAbx	YCFA	yes	NA
F4	bacteOnly	mBHI	no	NA
F5	bacteSwap	mBHI	yes	bacte2
F6	bacteSwap	mBHI	no	NA
F7	bacteSwap	mBHI	no	NA
F8	bacteSwap	mBHI	no	NA
F9	bacteSwap	mBHI	no	NA
F10	bacteSwap	mBHI	yes	NA
F11	bacteSwap	mBHI	no	NA
F12	bacteSwap	mBHI	no	NA
G1	preAbx	mGAM	yes	NA
G2	preAbx	RCM	yes	NA
G3	preAbx	YCFA	yes	NA
G4	bacteOnly	mBHI	no	NA
G5	bacteSwap	mBHI	yes	bacte2
G6	bacteSwap	mBHI	no	NA
G7	bacteSwap	mBHI	no	NA
G8	bacteSwap	mBHI	no	NA
G9	bacteSwap	mBHI	no	NA
G10	bacteSwap	mBHI	no	NA
G11	bacteSwap	mBHI	yes	NA
G12	bacteSwap	mBHI	no	NA
H1	preAbx	mGAM	yes	NA
H2	preAbx	RCM	yes	NA
H3	preAbx	YCFA	yes	NA
H4	bacteOnly	mBHI	no	NA
H5	bacteSwap	mBHI	yes	bacte2
H6	bacteSwap	mBHI	no	NA
H7	bacteSwap	mBHI	no	NA
H8	bacteSwap	mBHI	no	NA
H9	bacteSwap	mBHI	no	NA
H10	bacteSwap	mBHI	no	NA
H11	bacteSwap	mBHI	no	NA
H12	bacteSwap	mBHI	yes	NA
